num_ligne;Session;Code académie;Académie;Sexe;Statut du candidat;Voie;Série;Diplôme spécialité;Nombre d'inscrits;Nombre de présents;Nombre d'admis au 1er groupe;Nombre de refusés au 1er groupe;Nombre d'ajournés, passant les épreuves du 2nd groupe;Nombre d'admis à l'issue du 2nd groupe;Nombre de refusés à l'issue du 2nd groupe;Nombre d'admis totaux;Nombre d'admis avec mention TB avec les félicitations du jury;Nombre d'admis avec mention TB sans les félicitations du jury;Nombre d'admis avec mention B;Nombre d'admis avec mention AB;Nombre d'admis sans mention;Nombre de refusés totaux
10007.0;2022;27;CORSE;MASCULIN;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO PROD;BAC PRO 25514 SYST.NUM.OPT.B AUD.RES.EQUIP.DOM.;8;8;6;1;1;1;0;7;0;0;0;2;5;1
10012.0;2022;27;CORSE;MASCULIN;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO PROD;BAC PRO AG 21405 AMENAGEMENTS PAYSAGERS;6;5;5;0;0;0;0;5;0;0;0;1;4;0
10014.0;2022;27;CORSE;MASCULIN;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO SERV;BAC PRO 31106 LOGISTIQUE;10;10;9;1;0;0;0;9;0;1;2;5;1;1
10017.0;2022;27;CORSE;MASCULIN;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO SERV;BAC PRO 31213 MET.COM.VEN.OP.A ANI.GES.ESP.COM.;17;17;15;1;1;1;0;16;0;0;3;4;9;1
10022.0;2022;27;CORSE;MASCULIN;SCOLAIRE;BAC TECHNOLOGIQUE;BAC ST2S;BAC ST2S SCIENCES & TECHNO. SANTE & SOCIAL;19;19;13;1;5;4;1;17;0;1;1;7;8;2
10027.0;2022;27;CORSE;MASCULIN;SCOLAIRE;BAC TECHNOLOGIQUE;BAC STI2D;BAC STI2D INNOVATION TECHNO.  ET ECO CONCEPTION;8;8;6;0;2;1;1;7;0;0;0;2;5;1
10031.0;2022;27;CORSE;MASCULIN;SCOLAIRE;BAC TECHNOLOGIQUE;BAC STMG;BAC STMG MERCATIQUE (MARKETING);75;75;56;2;17;11;6;67;0;0;5;29;33;8
10037.0;2022;24;CRETEIL;FEMININ;APPRENTISSAGE;BAC PROFESSIONNEL;BAC PRO PROD;BAC PRO 24303 MET. DU CUIR: SELLERIE GARNISSAGE;9;8;8;0;0;0;0;8;0;5;3;0;0;0
10041.0;2022;24;CRETEIL;FEMININ;APPRENTISSAGE;BAC PROFESSIONNEL;BAC PRO PROD;BAC PRO 25408 REPARATION DES CARROSSERIES;1;1;1;0;0;0;0;1;0;0;0;1;0;0
10044.0;2022;24;CRETEIL;FEMININ;APPRENTISSAGE;BAC PROFESSIONNEL;BAC PRO PROD;BAC PRO AG 21405 AMENAGEMENTS PAYSAGERS;2;2;2;0;0;0;0;2;0;0;0;0;2;0
10048.0;2022;24;CRETEIL;FEMININ;APPRENTISSAGE;BAC PROFESSIONNEL;BAC PRO SERV;BAC PRO 31214 MET.COM.VEN.OP.B PR.CL.VA.OF.COM.;4;4;4;0;0;0;0;4;0;0;1;2;1;0
10058.0;2022;24;CRETEIL;FEMININ;ENSEIGNEMENT A DISTANCE;BAC PROFESSIONNEL;BAC PRO SERV;BAC PRO 31213 MET.COM.VEN.OP.A ANI.GES.ESP.COM.;5;4;1;3;0;0;0;1;0;0;0;1;0;3
10060.0;2022;24;CRETEIL;FEMININ;ENSEIGNEMENT A DISTANCE;BAC PROFESSIONNEL;BAC PRO SERV;BAC PRO 33004 ACC.SOINS-S.PERS. OPT.EN STRUCTUR;9;5;3;1;1;0;1;3;0;0;0;2;1;2
10065.0;2022;24;CRETEIL;FEMININ;FORMATION CONTINUE;BAC PROFESSIONNEL;BAC PRO PROD;BAC PRO 24301 METIERS DU CUIR : CHAUSSURES;1;1;1;0;0;0;0;1;0;0;1;0;0;0
10067.0;2022;24;CRETEIL;FEMININ;FORMATION CONTINUE;BAC PROFESSIONNEL;BAC PRO PROD;BAC PRO 24303 MET. DU CUIR: SELLERIE GARNISSAGE;5;5;5;0;0;0;0;5;0;0;3;2;0;0
10072.0;2022;24;CRETEIL;FEMININ;FORMATION CONTINUE;BAC PROFESSIONNEL;BAC PRO SERV;BAC PRO 33102 PROTHESE DENTAIRE;1;1;1;0;0;0;0;1;0;0;0;0;1;0
10075.0;2022;24;CRETEIL;FEMININ;INDIVIDUEL;BAC PROFESSIONNEL;BAC PRO PROD;BAC PRO 23203 TECHNICIEN BAT. : ORG.REAL.GROS O;1;1;0;0;1;0;1;0;0;0;0;0;0;1
10076.0;2022;24;CRETEIL;FEMININ;INDIVIDUEL;BAC PROFESSIONNEL;BAC PRO PROD;BAC PRO 24203 METIERS DE LA MODE - VÊTEMENT;1;0;0;0;0;0;0;0;0;0;0;0;0;0
10077.0;2022;24;CRETEIL;FEMININ;INDIVIDUEL;BAC PROFESSIONNEL;BAC PRO PROD;BAC PRO AG 21004 CGEA;1;1;1;0;0;0;0;1;0;0;0;0;1;0
10083.0;2022;24;CRETEIL;FEMININ;INDIVIDUEL;BAC PROFESSIONNEL;BAC PRO SERV;BAC PRO 31213 MET.COM.VEN.OP.A ANI.GES.ESP.COM.;5;5;5;0;0;0;0;5;0;0;0;1;4;0
10085.0;2022;24;CRETEIL;FEMININ;INDIVIDUEL;BAC PROFESSIONNEL;BAC PRO SERV;BAC PRO 33003 ACC.SOINS-S.PERS. OPT.A DOMICILE;4;1;0;1;0;0;0;0;0;0;0;0;0;1
10095.0;2022;24;CRETEIL;FEMININ;INDIVIDUEL;BAC TECHNOLOGIQUE;BAC STMG;BAC STMG GESTION ET FINANCE;13;4;0;2;2;2;0;2;0;0;0;0;2;2
10103.0;2022;24;CRETEIL;FEMININ;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO PROD;BAC PRO 23003 ARTIS. & M.ART:MARCHANDISAGE VIS.;23;23;19;2;2;1;1;20;0;3;6;4;7;3
10110.0;2022;24;CRETEIL;FEMININ;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO PROD;BAC PRO 23407 TECHNIC.FAB.BOIS ET MATERX ASSOC;1;1;0;1;0;0;0;0;0;0;0;0;0;1
10115.0;2022;24;CRETEIL;FEMININ;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO PROD;BAC PRO 25007 MAINTENANCE EQUIPEMENTS INDUST.;1;1;1;0;0;0;0;1;0;0;0;0;1;0
10140.0;2022;24;CRETEIL;FEMININ;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO SERV;BAC PRO 32206 FACONNAGE PRODTS IMPRIMES ROUTAGE;1;1;1;0;0;0;0;1;0;1;0;0;0;0
10146.0;2022;24;CRETEIL;FEMININ;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO SERV;BAC PRO 33004 ACC.SOINS-S.PERS. OPT.EN STRUCTUR;1445;1439;1190;183;66;41;25;1231;0;40;266;512;413;208
10147.0;2022;24;CRETEIL;FEMININ;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO SERV;BAC PRO 33101 OPTIQUE LUNETTERIE;30;30;29;1;0;0;0;29;0;2;4;5;18;1
10148.0;2022;24;CRETEIL;FEMININ;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO SERV;BAC PRO 33102 PROTHESE DENTAIRE;2;2;2;0;0;0;0;2;0;0;0;0;2;0
10149.0;2022;24;CRETEIL;FEMININ;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO SERV;BAC PRO 33403 COMMERC. SERVICES EN RESTAURATION;43;43;35;6;2;2;0;37;0;4;8;10;15;6
10152.0;2022;24;CRETEIL;FEMININ;SCOLAIRE;BAC PROFESSIONNEL;BAC PRO SERV;BAC PRO 34403 METIERS DE LA SECURITE;42;42;38;3;1;0;1;38;0;7;14;11;6;4
10155.0;2022;24;CRETEIL;FEMININ;SCOLAIRE;BAC TECHNOLOGIQUE;BAC STAV;BAC STAV AGRONOMIE ALIM ENV TERRITOI;34;34;34;0;0;0;0;34;0;0;1;14;19;0
10157.0;2022;24;CRETEIL;FEMININ;SCOLAIRE;BAC TECHNOLOGIQUE;BAC STHR;BAC STHR SC.&TEC. HOTELLERIE-RESTAURATION;35;35;29;1;5;4;1;33;0;0;3;17;13;2
10158.0;2022;24;CRETEIL;FEMININ;SCOLAIRE;BAC TECHNOLOGIQUE;BAC STI2D;BAC STI2D ARCHITECTURE ET CONSTRUCTION;54;54;45;0;9;5;4;50;0;1;3;19;27;4
10159.0;2022;24;CRETEIL;FEMININ;SCOLAIRE;BAC TECHNOLOGIQUE;BAC STI2D;BAC STI2D ENERGIES  ET ENVIRONNEMENT;29;29;25;1;3;2;1;27;0;0;8;10;9;2
10161.0;2022;24;CRETEIL;FEMININ;SCOLAIRE;BAC TECHNOLOGIQUE;BAC STI2D;BAC STI2D SYSTÈME D'INFORMATION  ET NUMERIQUE;45;45;36;2;7;6;1;42;1;1;8;13;19;3
10165.0;2022;24;CRETEIL;FEMININ;SCOLAIRE;BAC TECHNOLOGIQUE;BAC STMG;BAC STMG MERCATIQUE (MARKETING);1769;1769;1512;63;194;154;40;1666;0;33;222;591;820;103
10170.0;2022;24;CRETEIL;MASCULIN;APPRENTISSAGE;BAC PROFESSIONNEL;BAC PRO PROD;BAC PRO 22703 TECHN.INSTALL.SYST.ENERG.CLIMATI;53;46;22;14;10;3;7;25;0;2;2;8;13;21
10171.0;2022;24;CRETEIL;MASCULIN;APPRENTISSAGE;BAC PROFESSIONNEL;BAC PRO PROD;BAC PRO 22704 TECHN. MAINT. SYST.ENERG.CLIMATI;35;33;16;16;1;1;0;17;0;2;4;5;6;16
10172.0;2022;24;CRETEIL;MASCULIN;APPRENTISSAGE;BAC PROFESSIONNEL;BAC PRO PROD;BAC PRO 23203 TECHNICIEN BAT. : ORG.REAL.GROS O;32;30;26;4;0;0;0;26;0;2;4;15;5;4
10181.0;2022;24;CRETEIL;MASCULIN;APPRENTISSAGE;BAC PROFESSIONNEL;BAC PRO PROD;BAC PRO 25220 MAINT.MATERIELS OPT.B TP MANUT.;4;4;3;1;0;0;0;3;0;0;1;0;2;1
10184.0;2022;24;CRETEIL;MASCULIN;APPRENTISSAGE;BAC PROFESSIONNEL;BAC PRO PROD;BAC PRO 25410 CONSTRUCTION DES CARROSSERIES;2;2;2;0;0;0;0;2;0;0;1;0;1;0
10185.0;2022;24;CRETEIL;MASCULIN;APPRENTISSAGE;BAC PROFESSIONNEL;BAC PRO PROD;BAC PRO 25411 TECH.CHAUDRONNERIE INDUSTRIELLE;19;16;12;3;1;0;1;12;0;0;1;3;8;4
10192.0;2022;24;CRETEIL;MASCULIN;APPRENTISSAGE;BAC PROFESSIONNEL;BAC PRO SERV;BAC PRO 31106 LOGISTIQUE;54;54;33;18;3;1;2;34;0;2;3;8;21;20
10193.0;2022;24;CRETEIL;MASCULIN;APPRENTISSAGE;BAC PROFESSIONNEL;BAC PRO SERV;BAC PRO 31212 METIERS DE L'ACCUEIL;12;12;10;1;1;1;0;11;0;1;4;3;3;1
10198.0;2022;24;CRETEIL;MASCULIN;APPRENTISSAGE;BAC PROFESSIONNEL;BAC PRO SERV;BAC PRO 33403 COMMERC. SERVICES EN RESTAURATION;29;28;25;3;0;0;0;25;0;2;6;9;8;3
10204.0;2022;24;CRETEIL;MASCULIN;ENSEIGNEMENT A DISTANCE;BAC PROFESSIONNEL;BAC PRO SERV;BAC PRO 30001 GESTION-ADMINISTRATION;2;2;0;2;0;0;0;0;0;0;0;0;0;2
10205.0;2022;24;CRETEIL;MASCULIN;ENSEIGNEMENT A DISTANCE;BAC PROFESSIONNEL;BAC PRO SERV;BAC PRO 31213 MET.COM.VEN.OP.A ANI.GES.ESP.COM.;2;2;0;2;0;0;0;0;0;0;0;0;0;2
10210.0;2022;24;CRETEIL;MASCULIN;ENSEIGNEMENT A DISTANCE;BAC TECHNOLOGIQUE;BAC STMG;BAC STMG RESSOURCES HUMAINES ET COMMUNICATION;2;2;0;1;1;1;0;1;0;0;0;0;1;1
10211.0;2022;24;CRETEIL;MASCULIN;FORMATION CONTINUE;BAC PROFESSIONNEL;BAC PRO PROD;BAC PRO 22704 TECHN. MAINT. SYST.ENERG.CLIMATI;13;12;12;0;0;0;0;12;0;3;6;3;0;0
10215.0;2022;24;CRETEIL;MASCULIN;FORMATION CONTINUE;BAC PROFESSIONNEL;BAC PRO PROD;BAC PRO 25220 MAINT.MATERIELS OPT.B TP MANUT.;1;1;1;0;0;0;0;1;0;1;0;0;0;0
10220.0;2022;24;CRETEIL;MASCULIN;FORMATION CONTINUE;BAC PROFESSIONNEL;BAC PRO SERV;BAC PRO 30001 GESTION-ADMINISTRATION;1;1;1;0;0;0;0;1;0;1;0;0;0;0
